,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4
CHAC2,0,0,0,0,1,-1,0,-1
BAX,0,1,1,0,1,-1,0,-1
POLA2,0,0,1,0,1,-1,0,-1
lnc-ANKMY2-1,0,0,0,0,1,-1,0,-1
XBP1,0,-1,0,0,0,-1,0,-1
TNXB,0,-1,0,1,-1,-1,0,-1
KBTBD11-OT1,0,0,0,0,0,-1,0,-1
ME2,0,0,-1,0,1,-1,0,-1
BLM,-1,1,1,1,1,-1,0,-1
PPP2CA,0,-1,0,0,1,-1,0,-1
lnc-SLC15A1-1,-1,-1,-1,0,-1,-1,0,-1
MRPS23,0,0,1,-1,0,-1,0,-1
LMNB1,0,-1,0,1,1,-1,0,-1
LINC00662,0,0,0,0,-1,-1,0,-1
TCEA1,0,0,0,-1,0,-1,0,-1
SLC5A6,0,0,1,0,0,-1,0,-1
CEP120,0,-1,0,0,0,-1,0,-1
METTL21A,0,0,0,-1,1,-1,0,-1
TRAF4,-1,1,1,0,1,-1,0,-1
TOM1L1,1,1,1,1,1,-1,0,-1
lnc-RELT-1,0,0,0,0,1,-1,0,-1
SLBP,0,0,0,0,0,-1,0,-1
DNAJA3,0,0,0,0,0,-1,0,-1
HCG8,0,-1,-1,0,0,-1,0,-1
C1orf112,0,0,0,-1,0,-1,0,-1
CCNA2,0,0,1,0,0,-1,0,-1
AHSA1,0,-1,0,0,1,-1,0,-1
TMEM97,1,-1,0,0,0,-1,0,-1
SNORD11,0,-1,-1,0,0,-1,0,-1
TUFT1,1,1,0,1,1,-1,0,-1
IARS,0,-1,-1,0,0,-1,0,-1
PTTG3P,1,0,0,0,0,-1,0,-1
LDHA,1,-1,0,0,1,-1,0,-1
IL1RAP,0,0,1,-1,1,-1,0,-1
SLC35D2,0,-1,0,-1,-1,-1,0,-1
SLC7A11-AS1,0,-1,-1,0,0,-1,0,-1
ATF3,0,-1,-1,-1,-1,-1,0,-1
SPRR2C,0,0,0,0,0,-1,0,-1
ESCO2,0,1,1,0,1,-1,0,-1
BEX4,0,1,1,1,1,-1,0,-1
HNRNPD,0,0,0,1,0,-1,0,-1
FANCA,0,0,1,0,0,-1,0,-1
ARL6IP6,0,-1,0,-1,-1,-1,0,-1
ADCY7,0,0,1,-1,0,-1,0,-1
URB2,0,0,0,-1,0,-1,0,-1
SLMO2,0,-1,-1,-1,0,-1,0,-1
EXO1,1,0,1,0,1,-1,0,-1
LINC00174,0,-1,-1,0,0,-1,0,-1
PAQR4,0,1,1,1,0,-1,0,-1
SPATA4,0,-1,0,-1,0,-1,0,-1
SRFBP1,0,-1,-1,-1,0,-1,0,-1
ARHGAP11A,0,0,0,0,1,-1,0,-1
SMPD3,-1,1,1,1,1,-1,0,-1
WDR76,0,0,0,0,0,-1,0,-1
IGHMBP2,0,-1,-1,0,0,-1,0,-1
XLOC_l2_013931,0,0,-1,0,-1,-1,0,-1
lnc-UQCRFS1-9,0,0,0,0,-1,-1,0,-1
FLJ43315,0,0,0,0,1,-1,0,-1
TSLP,-1,0,0,0,0,-1,0,-1
LMO2,1,0,-1,-1,-1,-1,0,-1
AP5Z1,0,0,0,0,0,-1,0,-1
KIF11,1,0,1,-1,1,-1,0,-1
RAD17,0,0,0,-1,0,-1,0,-1
ATAD3B,0,0,-1,0,1,-1,0,-1
RFC3,0,0,0,0,1,-1,0,-1
FARSB,0,1,0,0,1,-1,0,-1
CBX2,1,-1,0,-1,-1,-1,0,-1
SF3B4,0,0,0,-1,1,-1,0,-1
NR1D2,0,0,0,1,0,-1,0,-1
HAUS2,0,0,0,-1,0,-1,0,-1
C8orf88,-1,-1,-1,-1,-1,-1,0,-1
NPM1,0,-1,0,0,1,-1,0,-1
FAM107B,0,1,-1,0,0,-1,0,-1
LIN9,0,0,0,0,0,-1,0,-1
TAF5L,0,0,-1,0,1,-1,0,-1
PCK2,0,0,0,0,0,-1,0,-1
MINOS1,0,-1,-1,1,1,-1,0,-1
HIST1H2AL,0,1,1,-1,1,-1,0,-1
CENPQ,-1,-1,0,-1,0,-1,0,-1
APMAP,0,-1,0,0,1,-1,0,-1
OVOS2,-1,1,0,0,0,-1,0,-1
