,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4
A_24_P333494,0,0,0,0,0,0,-1,0
A_23_P140602,0,1,0,0,1,0,-1,0
A_22_P00021565,1,-1,0,1,1,0,-1,0
A_22_P00011325,0,0,0,0,0,0,-1,0
A_33_P3383606,0,0,0,1,0,0,-1,0
A_23_P102937,0,1,0,1,0,0,-1,0
A_23_P202860,0,0,-1,0,0,0,-1,0
A_23_P106145,0,0,0,0,0,0,-1,0
A_32_P44775,0,1,0,0,0,0,-1,0
A_33_P3338559,0,0,0,-1,0,0,-1,0
A_33_P6570282,0,1,0,0,1,0,-1,0
A_21_P0011770,0,0,-1,0,0,0,-1,0
A_23_P106859,0,0,1,-1,0,0,-1,0
A_24_P274640,0,0,0,0,0,0,-1,0
A_24_P68631,0,0,0,0,1,0,-1,0
A_23_P110005,0,0,1,0,-1,0,-1,0
A_32_P47754,1,0,-1,1,-1,0,-1,0
A_33_P3842770,-1,0,0,0,0,0,-1,0
A_33_P3344264,0,-1,-1,-1,-1,0,-1,0
A_23_P58482,0,0,0,0,0,0,-1,0
(+)E1A_r60_1,-1,0,0,0,-1,0,-1,0
A_22_P00006710,0,0,0,0,0,0,-1,0
A_23_P256455,0,0,1,0,0,0,-1,0
A_33_P3311646,0,0,0,1,0,0,-1,0
A_22_P00016696,0,1,1,0,0,0,-1,0
A_21_P0000081,0,0,0,1,0,0,-1,0
A_23_P45294,0,0,0,0,0,0,-1,0
A_23_P8848,0,1,1,-1,0,0,-1,0
A_23_P106241,0,0,0,0,-1,0,-1,0
A_23_P57199,0,0,0,0,0,0,-1,0
A_24_P373333,0,0,1,0,0,0,-1,0
A_32_P158302,0,0,1,0,1,0,-1,0
A_23_P34578,0,0,0,-1,1,0,-1,0
A_21_P0000054,0,-1,0,0,-1,0,-1,0
A_23_P150876,0,-1,0,-1,-1,0,-1,0
A_33_P3407601,0,0,0,0,0,0,-1,0
A_23_P63010,0,-1,0,-1,-1,0,-1,0
A_33_P3303385,0,0,1,-1,0,0,-1,0
A_24_P927474,0,-1,0,-1,0,0,-1,0
A_23_P24515,0,-1,-1,0,-1,0,-1,0
A_23_P166716,0,0,1,1,0,0,-1,0
A_24_P416257,0,0,0,1,0,0,-1,0
A_23_P119102,0,0,1,0,1,0,-1,0
A_23_P42695,0,-1,1,0,0,0,-1,0
A_33_P3382086,0,0,1,1,0,0,-1,0
A_33_P3383656,0,0,0,0,-1,0,-1,0
A_23_P209360,-1,1,1,0,0,0,-1,0
A_23_P99891,0,0,1,1,-1,0,-1,0
A_23_P170352,0,0,0,-1,0,0,-1,0
A_23_P252855,0,0,-1,0,0,0,-1,0
A_23_P106127,0,0,-1,0,0,0,-1,0
A_23_P54963,0,0,0,0,0,0,-1,0
A_24_P413437,0,0,-1,-1,-1,0,-1,0
A_24_P50437,0,-1,-1,-1,-1,0,-1,0
A_24_P55250,0,1,1,1,1,0,-1,0
A_23_P106822,0,0,1,-1,0,0,-1,0
A_33_P3653330,0,1,0,1,0,0,-1,0
A_23_P112825,0,1,1,0,1,0,-1,0
A_23_P119923,0,-1,0,1,-1,0,-1,0
A_33_P3331366,0,1,0,-1,0,0,-1,0
A_23_P106633,0,1,1,0,0,0,-1,0
A_19_P00800549,0,0,-1,-1,0,0,-1,0
A_23_P207014,0,-1,0,0,0,0,-1,0
A_32_P54018,0,0,0,0,0,0,-1,0
A_24_P134392,0,1,1,0,0,0,-1,0
A_24_P149036,1,0,1,-1,0,0,-1,0
A_23_P80278,0,-1,-1,1,-1,0,-1,0
