,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4
A_33_P3231739,-1,-1,-1,-1,-1,0,0,0
A_33_P3335895,-1,-1,-1,-1,-1,0,0,0
A_33_P3276856,-1,-1,-1,-1,-1,0,0,0
A_33_P3230011,-1,-1,-1,-1,-1,0,0,0
A_23_P112531,-1,-1,-1,-1,-1,0,0,0
A_23_P120125,-1,-1,-1,-1,-1,0,0,0
A_33_P3366296,-1,-1,-1,-1,-1,0,0,0
A_33_P3393170,-1,-1,-1,-1,-1,0,0,1
A_23_P111701,-1,-1,-1,-1,-1,0,0,0
A_23_P41599,-1,-1,-1,-1,-1,1,0,1
A_23_P83110,-1,-1,-1,-1,-1,0,0,0
A_33_P3366301,-1,-1,-1,-1,-1,0,0,0
A_21_P0010712,-1,-1,-1,-1,-1,1,0,0
A_33_P3310475,-1,-1,-1,-1,-1,0,0,0
A_23_P421379,-1,-1,-1,-1,-1,0,0,0
A_21_P0014494,-1,-1,-1,-1,-1,0,0,0
A_21_P0014288,-1,-1,-1,-1,-1,0,0,0
A_21_P0002017,-1,-1,-1,-1,-1,0,0,0
A_33_P3300232,-1,-1,-1,-1,-1,0,0,0
A_22_P00011064,-1,-1,-1,-1,-1,0,0,0
A_33_P3323760,-1,-1,-1,-1,-1,1,0,1
A_23_P204736,-1,-1,-1,-1,-1,0,0,0
A_33_P3361746,-1,-1,-1,-1,-1,1,0,0
A_23_P126167,-1,-1,-1,-1,-1,0,0,0
A_24_P166663,-1,-1,-1,-1,-1,0,0,0
A_24_P46953,-1,-1,-1,-1,-1,0,0,0
A_33_P3306163,-1,-1,-1,-1,-1,0,0,0
A_33_P3377045,-1,-1,-1,-1,-1,0,0,0
A_33_P3258824,-1,-1,-1,-1,-1,0,0,0
A_23_P34473,-1,-1,-1,-1,-1,0,0,0
A_24_P683011,-1,-1,-1,-1,-1,-1,0,-1
A_24_P213950,-1,-1,-1,-1,-1,0,0,0
A_23_P213893,-1,-1,-1,-1,-1,0,0,0
A_23_P166400,-1,-1,-1,-1,-1,0,0,0
A_19_P00802448,-1,-1,-1,-1,-1,0,0,0
A_23_P344481,-1,-1,-1,-1,-1,0,0,0
A_33_P3229370,-1,-1,-1,-1,-1,0,0,0
A_21_P0013644,-1,-1,-1,-1,-1,0,0,0
A_23_P88602,-1,-1,-1,-1,-1,1,0,0
A_24_P329065,-1,-1,-1,-1,-1,0,0,0
A_23_P104762,-1,-1,-1,-1,-1,0,-1,0
A_23_P127495,-1,-1,-1,-1,-1,0,0,0
A_23_P202427,-1,-1,-1,-1,-1,-1,0,0
A_21_P0014689,-1,-1,-1,-1,-1,0,0,0
A_21_P0002016,-1,-1,-1,-1,-1,0,0,0
A_23_P56734,-1,-1,-1,-1,-1,0,0,0
A_33_P3242548,-1,-1,-1,-1,-1,0,0,0
A_23_P83134,-1,-1,-1,-1,-1,1,0,0
A_21_P0013575,-1,-1,-1,-1,-1,0,0,0
A_22_P00015371,-1,-1,-1,-1,-1,0,0,0
A_21_P0013571,-1,-1,-1,-1,-1,0,0,0
A_33_P3244951,-1,-1,-1,-1,-1,0,0,0
A_23_P308722,-1,-1,-1,-1,-1,0,0,0
A_19_P00808846,-1,-1,-1,-1,-1,0,0,0
A_23_P102681,-1,-1,-1,-1,-1,0,0,1
A_33_P3243332,-1,-1,-1,-1,-1,1,0,1
A_21_P0000853,-1,-1,-1,-1,-1,0,0,0
A_33_P3364463,-1,-1,-1,-1,-1,0,0,0
A_23_P165727,-1,-1,-1,-1,-1,0,0,0
A_23_P164958,-1,-1,-1,-1,-1,0,0,0
A_21_P0013086,-1,-1,-1,-1,-1,0,0,0
A_33_P3252524,-1,-1,-1,-1,-1,0,0,0
A_23_P126706,-1,-1,-1,-1,-1,0,0,0
A_32_P191441,-1,-1,-1,-1,-1,0,0,1
A_22_P00023442,-1,-1,-1,-1,-1,0,0,0
A_32_P225816,-1,-1,-1,-1,-1,0,0,0
A_21_P0002655,-1,-1,-1,-1,-1,0,0,0
A_22_P00018077,-1,-1,-1,-1,-1,0,0,0
A_23_P253012,-1,-1,-1,-1,-1,0,0,0
A_21_P0001091,-1,-1,-1,-1,-1,0,0,0
A_21_P0013596,-1,-1,-1,-1,-1,1,0,1
A_33_P3246838,-1,-1,-1,-1,-1,0,0,0
A_23_P127584,-1,-1,-1,-1,-1,0,0,0
A_23_P160406,-1,-1,-1,-1,-1,0,0,0
A_33_P3262515,-1,-1,-1,-1,-1,0,0,0
A_22_P00010394,-1,-1,-1,-1,-1,0,0,1
A_23_P348636,-1,-1,-1,-1,-1,0,0,0
A_33_P3402020,-1,-1,-1,-1,-1,0,0,0
A_23_P40295,-1,-1,-1,-1,-1,0,0,0
A_21_P0006521,-1,-1,-1,-1,-1,1,0,1
A_21_P0010978,-1,-1,-1,-1,-1,0,0,1
