,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4
A_33_P3227880,0,-1,-1,-1,-1,1,0,0
A_23_P109636,0,-1,-1,-1,-1,0,0,0
A_21_P0011230,0,-1,-1,-1,-1,0,0,0
A_33_P3231739,-1,-1,-1,-1,-1,0,0,0
A_22_P00015397,1,-1,-1,-1,-1,0,0,0
A_22_P00012133,0,-1,-1,-1,-1,0,0,0
A_23_P375354,0,-1,-1,-1,-1,0,0,0
A_24_P251221,0,-1,-1,-1,-1,0,0,0
A_32_P61495,0,-1,-1,-1,-1,1,0,1
A_22_P00018728,0,-1,-1,-1,-1,0,0,0
A_23_P47904,0,-1,-1,-1,-1,0,0,0
A_23_P50710,0,-1,-1,-1,-1,0,0,0
A_21_P0005615,0,-1,-1,-1,-1,0,0,0
A_24_P79054,0,-1,-1,-1,-1,0,0,0
A_33_P3223208,0,-1,-1,-1,-1,0,0,0
A_21_P0000368,0,-1,-1,-1,-1,0,0,0
A_21_P0010553,0,-1,-1,-1,-1,1,0,0
A_24_P152983,0,-1,-1,-1,-1,0,0,-1
A_21_P0010625,0,-1,-1,-1,-1,0,0,0
A_33_P3335895,-1,-1,-1,-1,-1,0,0,0
A_32_P751535,0,-1,-1,-1,-1,0,0,0
A_24_P187056,0,-1,-1,-1,-1,0,0,0
A_19_P00322533,1,-1,-1,-1,-1,-1,-1,0
A_24_P136211,0,-1,-1,-1,-1,0,0,0
A_33_P3276856,-1,-1,-1,-1,-1,0,0,0
A_32_P72940,1,-1,-1,-1,-1,0,0,0
A_24_P10226,0,-1,-1,-1,-1,0,0,0
A_21_P0008358,0,-1,-1,-1,-1,1,0,1
A_33_P3344264,0,-1,-1,-1,-1,0,-1,0
A_23_P8801,0,-1,-1,-1,-1,0,0,0
A_23_P19134,0,-1,-1,-1,-1,0,0,0
A_23_P46429,1,-1,-1,-1,-1,0,0,0
A_33_P3296582,1,-1,-1,-1,-1,0,0,0
A_23_P62605,0,-1,-1,-1,-1,0,1,0
A_23_P69941,0,-1,-1,-1,-1,0,0,0
A_21_P0011044,0,-1,-1,-1,-1,0,0,0
A_23_P6596,0,-1,-1,-1,-1,0,0,0
