,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4
A_33_P3293593,0,1,1,1,1,0,0,0
A_23_P52610,0,1,1,1,1,0,0,0
A_23_P10559,-1,1,1,1,1,1,0,0
A_32_P132317,0,1,1,1,1,0,0,1
A_23_P123672,0,1,1,1,1,0,0,0
A_23_P110167,0,1,1,1,1,1,0,1
A_33_P3821494,-1,1,1,1,1,0,0,0
A_23_P163235,-1,1,1,1,1,0,0,0
A_23_P157007,1,1,1,1,1,0,0,0
A_33_P3268838,0,1,1,1,1,0,0,0
A_24_P686965,1,1,1,1,1,-1,-1,-1
A_23_P88630,-1,1,1,1,1,-1,0,-1
A_33_P3293519,0,1,1,1,1,0,0,0
A_23_P107116,0,1,1,1,1,1,1,1
A_32_P195065,1,1,1,1,1,0,0,0
A_23_P73848,-1,1,1,1,1,0,0,0
A_33_P3355014,-1,1,1,1,1,1,0,1
A_33_P3299525,0,1,1,1,1,0,0,0
A_23_P65157,0,1,1,1,1,0,0,0
A_32_P78101,-1,1,1,1,1,0,0,0
A_32_P151366,0,1,1,1,1,0,0,0
A_23_P17354,0,1,1,1,1,1,0,1
A_33_P3410806,0,1,1,1,1,0,0,0
A_23_P359214,1,1,1,1,1,0,0,0
A_33_P3294002,0,1,1,1,1,0,0,1
A_21_P0013792,-1,1,1,1,1,0,0,0
A_33_P3261869,0,1,1,1,1,0,0,0
A_23_P215505,-1,1,1,1,1,0,0,0
A_23_P117582,-1,1,1,1,1,0,0,0
A_23_P213959,-1,1,1,1,1,0,0,0
A_19_P00808120,0,1,1,1,1,0,0,0
A_23_P25706,0,1,1,1,1,0,0,0
A_24_P152649,-1,1,1,1,1,0,0,0
A_23_P377299,1,1,1,1,1,0,0,0
A_23_P202587,1,1,1,1,1,0,0,0
A_21_P0000307,0,1,1,1,1,0,0,0
A_19_P00325810,0,1,1,1,1,0,0,0
A_33_P3233906,0,1,1,1,1,0,0,0
A_33_P3280157,1,1,1,1,1,1,0,1
A_23_P109184,1,1,1,1,1,0,0,0
A_23_P118493,1,1,1,1,1,-1,0,-1
A_23_P32175,0,1,1,1,1,0,0,0
A_23_P164528,0,1,1,1,1,1,0,0
A_23_P76684,0,1,1,1,1,0,0,0
A_23_P259442,-1,1,1,1,1,1,0,1
A_23_P55917,1,1,1,1,1,0,0,0
A_32_P192692,0,1,1,1,1,0,0,0
A_23_P348146,-1,1,1,1,1,0,0,0
A_21_P0009764,0,1,1,1,1,0,0,0
A_23_P317683,0,1,1,1,1,0,0,0
A_33_P3321205,-1,1,1,1,1,0,0,0
A_33_P3340655,-1,1,1,1,1,0,0,0
A_33_P3358601,-1,1,1,1,1,0,0,0
A_23_P97606,0,1,1,1,1,1,0,0
A_33_P3242458,0,1,1,1,1,0,0,0
A_23_P116602,0,1,1,1,1,0,0,0
A_24_P100996,1,1,1,1,1,0,0,0
A_24_P55250,0,1,1,1,1,0,-1,0
A_23_P133694,0,1,1,1,1,-1,0,0
A_23_P17706,1,1,1,1,1,0,0,0
A_23_P11543,0,1,1,1,1,0,0,0
A_23_P122662,-1,1,1,1,1,0,0,0
A_33_P3274129,1,1,1,1,1,0,0,0
A_23_P70318,0,1,1,1,1,0,0,0
A_33_P3401647,0,1,1,1,1,0,0,0
A_23_P135061,0,1,1,1,1,1,0,0
A_33_P3221868,0,1,1,1,1,1,0,1
A_23_P214244,-1,1,1,1,1,0,0,0
A_24_P328524,-1,1,1,1,1,0,0,0
A_23_P48826,0,1,1,1,1,0,0,0
A_23_P349676,0,1,1,1,1,0,0,0
A_23_P217468,0,1,1,1,1,0,0,0
A_33_P3323847,0,1,1,1,1,-1,-1,-1
A_24_P664939,0,1,1,1,1,0,0,0
A_23_P108075,0,1,1,1,1,0,0,0
A_23_P6771,1,1,1,1,1,0,0,0
A_23_P60130,0,1,1,1,1,0,0,0
A_23_P56787,-1,1,1,1,1,0,0,0
A_23_P120153,0,1,1,1,1,0,0,0
A_33_P3377130,0,1,1,1,1,0,0,0
A_23_P146274,-1,1,1,1,1,0,0,0
