,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4
A_32_P194264,0,0,0,0,1,-1,0,-1
A_23_P208706,0,1,1,0,1,-1,0,-1
A_23_P161615,0,0,1,0,1,-1,0,-1
A_22_P00023880,0,0,0,0,1,-1,0,-1
A_23_P120845,0,-1,0,0,0,-1,0,-1
A_23_P156708,0,-1,0,1,-1,-1,0,-1
A_22_P00023982,0,0,0,0,0,-1,0,-1
A_23_P321261,0,0,-1,0,1,-1,0,-1
A_23_P88630,-1,1,1,1,1,-1,0,-1
A_23_P122041,0,-1,0,0,1,-1,0,-1
A_22_P00014599,-1,-1,-1,0,-1,-1,0,-1
A_23_P106998,0,0,1,-1,0,-1,0,-1
A_23_P258493,0,-1,0,1,1,-1,0,-1
A_21_P0009753,0,0,0,0,-1,-1,0,-1
A_23_P132444,0,0,0,-1,0,-1,0,-1
A_23_P102508,0,0,1,0,0,-1,0,-1
A_24_P226210,0,-1,0,0,0,-1,0,-1
A_23_P209337,0,0,0,-1,1,-1,0,-1
A_33_P3402035,-1,1,1,0,1,-1,0,-1
A_23_P118493,1,1,1,1,1,-1,0,-1
A_22_P00012970,0,0,0,0,1,-1,0,-1
A_23_P7101,0,0,0,0,0,-1,0,-1
A_23_P118306,0,0,0,0,0,-1,0,-1
A_33_P6474088,0,-1,-1,0,0,-1,0,-1
A_23_P11862,0,0,0,-1,0,-1,0,-1
A_23_P58321,0,0,1,0,0,-1,0,-1
A_23_P117599,0,-1,0,0,1,-1,0,-1
A_24_P190168,1,-1,0,0,0,-1,0,-1
A_21_P0000366,0,-1,-1,0,0,-1,0,-1
A_23_P371824,1,1,0,1,1,-1,0,-1
A_23_P258964,0,-1,-1,0,0,-1,0,-1
(+)E1A_r60_n11,-1,-1,0,-1,-1,-1,0,-1
A_23_P60016,1,0,0,0,0,-1,0,-1
A_32_P44568,1,-1,0,0,1,-1,0,-1
A_23_P336554,0,0,1,-1,1,-1,0,-1
A_33_P3278187,0,-1,0,-1,-1,-1,0,-1
A_22_P00003557,0,-1,-1,0,0,-1,0,-1
A_24_P33895,0,-1,-1,-1,-1,-1,0,-1
A_23_P126089,0,0,0,0,0,-1,0,-1
A_33_P3326210,0,1,1,0,1,-1,0,-1
A_24_P40551,0,1,1,1,1,-1,0,-1
A_24_P123245,0,0,0,1,0,-1,0,-1
A_23_P206441,0,0,1,0,0,-1,0,-1
A_23_P28169,0,-1,0,-1,-1,-1,0,-1
A_24_P416177,0,0,1,-1,0,-1,0,-1
A_23_P74914,0,0,0,-1,0,-1,0,-1
A_24_P288424,0,-1,-1,-1,0,-1,0,-1
A_23_P23303,1,0,1,0,1,-1,0,-1
A_23_P397543,0,-1,-1,0,0,-1,0,-1
A_23_P397341,0,1,1,1,0,-1,0,-1
A_23_P393025,0,-1,0,-1,0,-1,0,-1
A_23_P435002,0,-1,-1,-1,0,-1,0,-1
A_33_P3339361,0,0,0,0,1,-1,0,-1
A_23_P163567,-1,1,1,1,1,-1,0,-1
A_23_P129075,0,0,0,0,0,-1,0,-1
A_23_P393713,0,-1,-1,0,0,-1,0,-1
A_19_P00317872,0,0,1,-1,1,-1,0,-1
A_21_P0014476,0,-1,-1,0,0,-1,0,-1
A_21_P0013343,0,0,-1,0,-1,-1,0,-1
A_21_P0009752,0,0,0,0,-1,-1,0,-1
A_33_P3363188,0,0,0,0,1,-1,0,-1
A_33_P3221783,-1,0,0,0,0,-1,0,-1
A_23_P53126,1,0,-1,-1,-1,-1,0,-1
A_33_P3409996,0,0,0,0,0,-1,0,-1
A_24_P227091,1,0,1,-1,1,-1,0,-1
A_24_P97836,0,0,0,-1,0,-1,0,-1
A_33_P3313258,0,0,-1,0,1,-1,0,-1
A_23_P14193,0,0,0,0,1,-1,0,-1
A_23_P165355,0,1,0,0,1,-1,0,-1
A_33_P3328284,0,0,0,0,0,-1,0,-1
A_33_P3423949,1,-1,0,-1,-1,-1,0,-1
A_23_P35131,0,0,0,-1,1,-1,0,-1
A_24_P943472,0,0,0,1,0,-1,0,-1
A_33_P3832857,0,0,0,-1,0,-1,0,-1
A_24_P683011,-1,-1,-1,-1,-1,-1,0,-1
A_23_P214037,0,-1,0,0,1,-1,0,-1
A_23_P149975,0,1,-1,0,0,-1,0,-1
A_32_P233304,0,0,0,0,0,-1,0,-1
A_23_P35309,0,0,-1,0,1,-1,0,-1
A_23_P128817,0,0,0,0,0,-1,0,-1
A_21_P0013512,1,0,0,1,1,-1,0,-1
A_33_P3277140,0,-1,-1,1,1,-1,0,-1
A_23_P363174,0,1,1,-1,1,-1,0,-1
A_23_P70328,-1,-1,0,-1,0,-1,0,-1
A_24_P297078,0,-1,0,0,1,-1,0,-1
A_23_P25069,-1,1,0,0,0,-1,0,-1
A_33_P3258223,0,0,0,0,1,-1,0,-1
A_23_P138507,0,0,1,-1,1,-1,0,-1
A_23_P126212,0,0,0,0,0,-1,0,-1
A_22_P00010059,0,0,0,0,-1,-1,0,-1
A_24_P318939,0,-1,-1,1,-1,-1,0,-1
A_33_P3360216,0,1,1,0,1,-1,0,-1
A_32_P150891,0,0,1,-1,1,-1,0,-1
A_33_P3270384,1,-1,0,-1,0,-1,0,-1
A_33_P3378697,1,-1,-1,-1,0,-1,0,-1
A_21_P0013475,1,0,0,1,1,-1,0,-1
A_33_P3237359,1,0,0,-1,1,-1,0,-1
A_23_P144684,0,-1,-1,1,-1,-1,0,-1
A_32_P107746,0,0,-1,0,1,-1,0,-1
A_23_P80902,0,-1,1,-1,1,-1,0,-1
A_22_P00017599,0,-1,-1,1,0,-1,0,-1
A_23_P143190,0,0,1,0,1,-1,0,-1
A_24_P122337,-1,1,-1,0,1,-1,0,-1
A_21_P0009754,0,0,0,0,-1,-1,0,-1
A_24_P634768,0,0,0,0,-1,-1,0,-1
A_21_P0008097,0,0,0,0,0,-1,0,-1
A_23_P422193,0,1,0,0,1,-1,0,-1
A_23_P110802,0,-1,1,-1,1,-1,0,-1
A_24_P363802,0,-1,-1,-1,-1,-1,0,-1
A_33_P3217073,0,1,0,1,0,-1,0,-1
A_23_P200637,0,1,1,1,0,-1,0,-1
A_24_P156288,0,0,0,0,0,-1,0,-1
A_23_P17430,0,0,0,0,-1,-1,0,-1
A_24_P141736,0,0,-1,0,0,-1,0,-1
A_21_P0010750,-1,-1,-1,1,-1,-1,0,-1
A_23_P425502,0,0,1,0,0,-1,0,-1
A_22_P00007405,0,0,0,0,0,-1,0,-1
A_23_P216894,1,-1,-1,-1,0,-1,0,-1
A_23_P120254,0,0,0,-1,-1,-1,0,-1
A_21_P0007484,0,-1,0,0,1,-1,0,-1
A_23_P140668,0,1,0,1,0,-1,0,-1
A_33_P3229122,0,0,0,-1,-1,-1,0,-1
A_23_P325040,0,0,0,0,1,-1,0,-1
A_33_P3272140,0,-1,0,0,0,-1,0,-1
A_23_P88691,0,0,0,0,0,-1,0,-1
A_33_P3379454,0,0,-1,-1,-1,-1,0,-1
A_33_P3416414,0,-1,-1,-1,-1,-1,0,-1
A_23_P170467,0,-1,-1,0,0,-1,0,-1
A_33_P3384871,1,-1,1,-1,0,-1,0,-1
A_24_P221485,0,-1,-1,-1,-1,-1,0,-1
A_23_P64837,1,0,0,0,1,-1,0,-1
A_23_P9458,1,-1,0,0,0,-1,0,-1
A_33_P3377691,0,-1,0,-1,0,-1,0,-1
A_21_P0000287,0,-1,-1,-1,0,-1,0,-1
A_33_P3343073,0,-1,-1,-1,0,-1,0,-1
A_24_P203000,-1,0,0,0,1,-1,0,-1
A_23_P110184,1,-1,-1,-1,0,-1,0,-1
A_24_P235049,0,0,0,0,0,-1,0,-1
A_33_P3347132,0,-1,0,0,0,-1,0,-1
A_24_P137582,0,0,0,0,0,-1,0,-1
A_23_P161458,0,0,0,0,0,-1,0,-1
A_33_P3407409,0,0,0,0,0,-1,0,-1
A_21_P0013271,1,1,1,0,0,-1,0,-1
A_23_P432947,0,0,0,1,1,-1,0,-1
A_21_P0000500,0,-1,0,-1,0,-1,0,-1
A_23_P77813,0,0,0,0,0,-1,0,-1
A_33_P3225250,0,-1,0,0,0,-1,0,-1
A_21_P0011450,0,0,-1,0,0,-1,0,-1
A_24_P397515,0,0,0,-1,0,-1,0,-1
A_32_P206698,0,-1,0,-1,0,-1,0,-1
A_23_P211355,0,0,0,0,1,-1,0,-1
A_24_P305933,-1,1,-1,1,1,-1,0,-1
A_33_P3220615,0,1,0,0,0,-1,0,-1
A_23_P89621,0,-1,-1,-1,-1,-1,0,-1
A_24_P54131,0,0,0,0,0,-1,0,-1
A_33_P3421913,-1,0,-1,0,-1,-1,0,-1
A_23_P155989,0,0,0,-1,1,-1,0,-1
A_24_P287941,0,0,1,0,1,-1,0,-1
A_33_P3238215,0,-1,-1,-1,-1,-1,0,-1
A_23_P99292,0,0,0,0,1,-1,0,-1
A_21_P0013823,0,0,0,0,0,-1,0,-1
A_33_P3659876,0,0,0,0,1,-1,0,-1
A_23_P92517,0,-1,0,-1,-1,-1,0,-1
A_23_P371410,-1,0,-1,0,-1,-1,0,-1
A_24_P9321,0,0,1,-1,1,-1,0,-1
A_23_P259586,0,0,1,0,1,-1,0,-1
A_23_P77286,0,0,0,0,0,-1,0,-1
A_32_P202703,0,-1,-1,-1,0,-1,0,-1
A_32_P222383,0,0,0,0,-1,-1,0,-1
A_33_P3563369,0,-1,-1,-1,0,-1,0,-1
A_23_P23356,0,-1,0,-1,0,-1,0,-1
A_23_P206724,-1,1,0,1,1,-1,0,-1
A_33_P3845673,-1,1,-1,1,1,-1,0,-1
A_23_P356684,0,-1,-1,0,-1,-1,0,-1
A_32_P95914,0,-1,0,-1,0,-1,0,-1
A_23_P213592,0,-1,0,0,-1,-1,0,-1
A_23_P160537,0,0,1,1,1,-1,0,-1
A_23_P137715,0,0,0,-1,0,-1,0,-1
A_24_P929754,0,1,1,1,0,-1,0,-1
A_33_P3325704,0,0,0,0,0,-1,0,-1
A_33_P3316835,0,0,0,0,1,-1,0,-1
A_21_P0014306,0,-1,0,0,1,-1,0,-1
A_23_P94533,0,0,0,-1,0,-1,0,-1
A_33_P3384845,0,0,0,-1,0,-1,0,-1
A_33_P3214446,0,0,0,0,1,-1,0,-1
A_23_P96325,0,0,0,0,0,-1,0,-1
A_23_P52082,0,0,-1,-1,0,-1,0,-1
A_33_P3380346,0,0,0,0,0,-1,0,-1
A_23_P129358,0,-1,0,1,-1,-1,0,-1
A_24_P341000,0,0,0,1,1,-1,0,-1
A_23_P37375,-1,-1,-1,1,-1,-1,0,-1
A_33_P3296169,0,0,-1,0,0,-1,0,-1
A_23_P416036,0,0,0,0,1,-1,0,-1
A_23_P35871,1,-1,0,-1,0,-1,0,-1
A_21_P0014427,0,1,1,1,0,-1,0,-1
