,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4
A_19_P00802154,0,0,-1,1,0,1,0,1
A_21_P0002371,0,0,0,0,-1,1,0,1
A_22_P00003178,0,0,0,0,0,1,0,1
A_32_P148538,-1,1,-1,0,-1,1,0,1
A_21_P0008147,0,0,0,0,0,1,0,1
A_23_P110167,0,1,1,1,1,1,0,1
A_32_P61495,0,-1,-1,-1,-1,1,0,1
A_24_P355967,-1,1,0,1,1,1,0,1
A_24_P126139,0,1,0,1,1,1,0,1
A_23_P105138,0,0,0,0,0,1,0,1
A_23_P163306,0,0,1,1,0,1,0,1
A_22_P00007583,-1,-1,-1,0,0,1,0,1
A_23_P412577,0,0,0,1,1,1,0,1
A_24_P334130,-1,-1,0,-1,0,1,0,1
A_23_P27606,1,-1,0,-1,-1,1,0,1
A_33_P3355014,-1,1,1,1,1,1,0,1
A_33_P3367301,-1,0,0,-1,0,1,0,1
A_23_P254181,0,0,0,0,0,1,0,1
A_23_P143374,-1,-1,-1,1,0,1,0,1
A_23_P17354,0,1,1,1,1,1,0,1
(+)E1A_r60_3,0,1,1,1,0,1,0,1
A_23_P148584,0,0,-1,-1,0,1,0,1
A_21_P0008358,0,-1,-1,-1,-1,1,0,1
A_22_P00013415,0,-1,0,1,1,1,0,1
A_23_P120710,0,1,0,1,1,1,0,1
A_22_P00003761,0,-1,1,0,0,1,0,1
A_22_P00011151,0,0,0,0,1,1,0,1
A_22_P00000767,0,0,0,0,1,1,0,1
(+)E1A_r60_a97,0,1,1,1,0,1,0,1
A_23_P151075,0,1,0,0,1,1,0,1
A_23_P129433,1,1,1,1,0,1,0,1
A_33_P3280157,1,1,1,1,1,1,0,1
A_33_P3222744,1,0,0,-1,0,1,0,1
A_23_P6413,-1,1,0,1,1,1,0,1
A_21_P0000292,0,0,0,0,0,1,0,1
A_21_P0012611,0,0,0,0,0,1,0,1
A_23_P259442,-1,1,1,1,1,1,0,1
A_33_P3238290,0,-1,0,-1,-1,1,0,1
A_23_P414519,0,-1,-1,1,0,1,0,1
A_23_P121533,-1,-1,1,1,0,1,0,1
A_24_P246351,0,-1,-1,1,-1,1,0,1
