,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4
A_23_P157007,1,1,1,1,1,0,0,0
A_24_P686965,1,1,1,1,1,-1,-1,-1
A_32_P195065,1,1,1,1,1,0,0,0
A_23_P359214,1,1,1,1,1,0,0,0
A_23_P377299,1,1,1,1,1,0,0,0
A_23_P202587,1,1,1,1,1,0,0,0
A_33_P3280157,1,1,1,1,1,1,0,1
A_23_P109184,1,1,1,1,1,0,0,0
A_23_P118493,1,1,1,1,1,-1,0,-1
A_23_P55917,1,1,1,1,1,0,0,0
A_24_P100996,1,1,1,1,1,0,0,0
A_23_P17706,1,1,1,1,1,0,0,0
A_33_P3274129,1,1,1,1,1,0,0,0
A_23_P6771,1,1,1,1,1,0,0,0
A_33_P3228807,1,1,1,1,1,0,0,0
A_23_P252462,1,1,1,1,1,0,0,0
A_21_P0000418,1,1,1,1,1,0,0,0
A_23_P152284,1,1,1,1,1,0,0,0
A_23_P387656,1,1,1,1,1,0,0,0
A_32_P49867,1,1,1,1,1,1,0,1
A_22_P00001847,1,1,1,1,1,1,0,1
A_23_P118722,1,1,1,1,1,0,0,0
A_33_P3274935,1,1,1,1,1,0,0,0
A_23_P165608,1,1,1,1,1,0,0,0
A_33_P3244283,1,1,1,1,1,0,0,0
A_33_P3239839,1,1,1,1,1,0,0,0
A_23_P337729,1,1,1,1,1,1,0,1
A_33_P3237110,1,1,1,1,1,0,0,0
A_23_P8400,1,1,1,1,1,0,0,0
A_23_P90722,1,1,1,1,1,0,0,0
A_23_P154566,1,1,1,1,1,0,1,1
A_21_P0006580,1,1,1,1,1,0,0,0
A_23_P348524,1,1,1,1,1,0,0,0
A_23_P258912,1,1,1,1,1,0,0,0
A_33_P3376971,1,1,1,1,1,-1,-1,-1
A_32_P59678,1,1,1,1,1,0,0,0
A_24_P601972,1,1,1,1,1,0,0,0
A_23_P369328,1,1,1,1,1,0,0,0
A_23_P320113,1,1,1,1,1,-1,-1,-1
A_23_P417951,1,1,1,1,1,0,0,0
A_23_P93938,1,1,1,1,1,0,0,0
A_22_P00003155,1,1,1,1,1,0,0,0
A_24_P252364,1,1,1,1,1,0,0,0
A_32_P187571,1,1,1,1,1,0,0,0
A_33_P3315470,1,1,1,1,1,0,0,0
A_33_P3348224,1,1,1,1,1,0,0,0
A_21_P0000121,1,1,1,1,1,0,0,0
A_33_P3327140,1,1,1,1,1,1,0,1
A_33_P3254380,1,1,1,1,1,1,0,1
A_24_P261417,1,1,1,1,1,0,0,-1
A_22_P00008473,1,1,1,1,1,0,0,0
A_32_P133090,1,1,1,1,1,0,0,0
A_33_P3285299,1,1,1,1,1,0,0,0
A_32_P108254,1,1,1,1,1,0,0,0
A_33_P3739260,1,1,1,1,1,0,0,0
DCP_22_6,1,1,1,1,1,1,0,1
A_22_P00023378,1,1,1,1,1,0,0,0
A_23_P125705,1,1,1,1,1,0,0,0
DCP_22_4,1,1,1,1,1,1,0,1
A_33_P3391375,1,1,1,1,1,1,0,1
A_24_P174755,1,1,1,1,1,0,0,0
A_23_P106389,1,1,1,1,1,0,0,0
A_23_P145984,1,1,1,1,1,0,0,0
A_23_P50276,1,1,1,1,1,0,0,0
A_23_P47616,1,1,1,1,1,0,0,0
A_22_P00006911,1,1,1,1,1,0,0,0
A_32_P101031,1,1,1,1,1,0,0,0
A_33_P3336720,1,1,1,1,1,0,0,0
A_33_P3402404,1,1,1,1,1,0,0,0
A_32_P79434,1,1,1,1,1,0,0,0
A_21_P0000419,1,1,1,1,1,0,0,0
A_22_P00017913,1,1,1,1,1,0,0,0
A_33_P3229953,1,1,1,1,1,0,0,0
A_24_P106681,1,1,1,1,1,0,0,0
A_33_P3271711,1,1,1,1,1,0,0,0
A_23_P137035,1,1,1,1,1,0,-1,0
A_23_P258088,1,1,1,1,1,0,0,0
A_22_P00008720,1,1,1,1,1,0,0,0
A_23_P4161,1,1,1,1,1,-1,0,0
DCP_22_7,1,1,1,1,1,1,0,1
A_23_P141345,1,1,1,1,1,-1,0,0
A_23_P13740,1,1,1,1,1,0,0,0
A_32_P59302,1,1,1,1,1,0,0,0
A_23_P132956,1,1,1,1,1,0,1,0
A_32_P38645,1,1,1,1,1,0,0,0
A_23_P142631,1,1,1,1,1,0,0,0
A_23_P90311,1,1,1,1,1,0,0,0
A_23_P116235,1,1,1,1,1,0,0,0
A_33_P3403693,1,1,1,1,1,0,0,0
A_33_P3293524,1,1,1,1,1,0,0,0
A_32_P197340,1,1,1,1,1,1,0,1
A_23_P212469,1,1,1,1,1,0,0,0
A_23_P169278,1,1,1,1,1,0,0,0
A_24_P879740,1,1,1,1,1,0,-1,0
