"";"Gene symbol";"2_2";"2_3";"2_4"
"76";"XLOC_l2_000399";0,738990604235075;0,0242127635514189;0,464334966724661
"77";"GTF2H2C_2";0,0431906727617098;-0,558725283053219;-0,0188069300026567
"78";"LOC101929002";0,117872571309573;0,00211413764027268;0,513212099570434
"79";"CAT";0,712583441230423;0,304424165734614;1,00425576673049
"80";"EXOSC6";-0,650734529902018;-0,65177885629441;-0,256766017841014
"81";"ADAMTS13";0,61288747613457;-0,128348262233896;0,378448647985496
"82";"FAM216A";-0,537046601972011;-0,744293135315419;-0,161286234246975
"83";"HIST2H2AB";-0,00185669586535061;-0,753625527116118;0,0734471000327438
"84";"CGNL1";1,77402613390551;0,17455711712718;1,51929469769405
"85";"lnc-HDAC9-3";0,816290726449808;-0,00433262422860192;0,792412993505241
"86";"ANKRD29";0,660508776648411;0,28822486895826;0,667196431496628
"87";"PFDN6";-0,752742648312964;-0,37906295880394;-0,435063370474579
"88";"FN1";0,71879199972288;-0,1440923031991;0,804919897607815
"89";"IL27RA";1,11387541007142;0,107029977048799;1,10076275044826
"90";"PPM1B";-0,269605924748056;-0,45776196349938;-0,524161899237413
"91";"CC2D1A";0,37501060774895;1,49752708752066;0,674098728303712
"92";"SLC25A1";-0,0154686040977231;-0,0447530714783677;0,556925143988079
"93";"RNF112";0,619317327364443;0,510850144894716;0,586190912140049
"94";"RNF14";-0,311895792304763;-0,0320783389169104;-0,91041500380017
"95";"LOC730257";0,479359342561312;-0,122112207937576;0,768337089096942
"96";"KNTC1";-1,4472330667485;-0,788103310622436;-1,44766039669688
"97";"LSM14B";0,438154006197249;0,0231126236740198;0,710548680620252
"98";"APC";0,452383870199782;-0,0954094258707379;0,586021120389814
"99";"ZNF638";0,516451788853778;-0,202672487853353;0,259289773116868
"100";"GDF15";-1,5541794511744;-0,587724150561705;-1,42183537627473
"101";"NICN1";-0,21730958501743;-0,595963134375032;-0,449493462955118
"102";"C1orf43";-0,573880360804191;-0,432107885333276;-0,479990174813197
"103";"SLC2A14";-0,222080895633709;-0,613064381320399;0,161310673796194
"104";"DAZAP2";0,594882599823235;0,472166108314537;0,269965927867451
"105";"GAPDH";0,214920856243811;0,710632908248839;0,0909316133478528
"106";"TMEM229B";0,719668889825013;0,13952515015851;0,724731885479301
"107";"TEAD4";-0,552334652919179;-0,325477439132944;-0,131490391080235
"108";"lnc-SLC15A1-1";-0,500776018634525;-0,445660758129047;-0,555950498540944
"109";"TMTC1";0,65504378887974;0,260951730963145;0,316521007073759
"110";"ENPP2";0,531119994416166;-0,098267070484966;-0,527931064295008
"111";"GJD3";0,947590963870489;0,181662942826947;1,37487348368725
"112";"XLOC_l2_014504";-1,06629703154667;-0,507375603640575;-1,11615553978887
"113";"HS3ST2";-0,431347763270099;-0,324555916257005;-0,749446763652128
"114";"CRNDE";-0,509277585105001;-0,694674981105565;-0,346842468328401
"115";"LINC01260";1,49600395086653;0,0875319735902158;1,35631001514339
"116";"ITGBL1";0,803217027904603;-0,29453397407893;0,30279829172356
"117";"PNMA1";0,613676149258824;0,905151824092039;0,244876694338085
"118";"SDHA";0,500150178175161;0,268863495802182;0,448483083659888
"119";"CALU";0,30278327232108;0,574827531476399;0,0247068386866503
