,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4
ENST00000354666,-1,-1,-1,-1,-1,0,0,0
ENST00000435360,-1,-1,-1,-1,-1,0,0,0
ENST00000543639,-1,-1,-1,-1,-1,0,0,0
ENST00000399165,-1,-1,-1,-1,-1,0,0,0
ENST00000300434,-1,-1,-1,-1,-1,0,0,0
ENST00000278559,-1,-1,-1,-1,-1,0,0,1
ENST00000239444,-1,-1,-1,-1,-1,1,0,1
ENST00000552957,-1,-1,-1,-1,-1,0,0,0
ENST00000451023,-1,-1,-1,-1,-1,1,0,0
ENST00000264893,-1,-1,-1,-1,-1,0,0,0
ENST00000422996,-1,-1,-1,-1,-1,0,0,0
ENST00000543521,-1,-1,-1,-1,-1,0,0,0
ENST00000421112,-1,-1,-1,-1,-1,0,0,0
ENST00000301149,-1,-1,-1,-1,-1,0,0,0
ENST00000220888,-1,-1,-1,-1,-1,1,0,0
ENST00000618040,-1,-1,-1,-1,-1,0,0,0
ENST00000265734,-1,-1,-1,-1,-1,0,0,0
ENST00000556322,-1,-1,-1,-1,-1,0,0,0
ENST00000381854,-1,-1,-1,-1,-1,0,0,0
ENST00000579475,-1,-1,-1,-1,-1,0,0,0
ENST00000262340,-1,-1,-1,-1,-1,0,0,0
ENST00000517562,-1,-1,-1,-1,-1,-1,0,-1
ENST00000298251,-1,-1,-1,-1,-1,0,0,0
ENST00000274473,-1,-1,-1,-1,-1,0,0,0
ENST00000216101,-1,-1,-1,-1,-1,0,0,0
ENST00000378700,-1,-1,-1,-1,-1,0,0,0
ENST00000525090,-1,-1,-1,-1,-1,0,0,0
ENST00000354624,-1,-1,-1,-1,-1,-1,0,0
ENST00000421112,-1,-1,-1,-1,-1,0,0,0
ENST00000485653,-1,-1,-1,-1,-1,0,0,0
ENST00000394435,-1,-1,-1,-1,-1,0,0,0
ENST00000298743,-1,-1,-1,-1,-1,1,0,0
ENST00000331259,-1,-1,-1,-1,-1,0,0,0
ENST00000394553,-1,-1,-1,-1,-1,0,0,0
ENST00000288710,-1,-1,-1,-1,-1,0,0,0
ENST00000413645,-1,-1,-1,-1,-1,0,0,0
ENST00000598340,-1,-1,-1,-1,-1,0,0,1
ENST00000529535,-1,-1,-1,-1,-1,1,0,1
ENST00000523367,-1,-1,-1,-1,-1,0,0,0
ENST00000260950,-1,-1,-1,-1,-1,0,0,0
ENST00000307522,-1,-1,-1,-1,-1,0,0,0
ENST00000367520,-1,-1,-1,-1,-1,0,0,0
ENST00000367629,-1,-1,-1,-1,-1,0,0,0
ENST00000284694,-1,-1,-1,-1,-1,0,0,1
ENST00000607823,-1,-1,-1,-1,-1,0,0,0
ENST00000270722,-1,-1,-1,-1,-1,0,0,0
ENST00000568976,-1,-1,-1,-1,-1,0,0,0
ENST00000440446,-1,-1,-1,-1,-1,0,0,0
ENST00000428292,-1,-1,-1,-1,-1,1,0,1
ENST00000390477,-1,-1,-1,-1,-1,0,0,0
ENST00000299964,-1,-1,-1,-1,-1,0,0,0
ENST00000495537,-1,-1,-1,-1,-1,0,0,0
ENST00000334062,-1,-1,-1,-1,-1,0,0,0
ENST00000484765,-1,-1,-1,-1,-1,0,0,1
ENST00000322957,-1,-1,-1,-1,-1,0,0,0
ENST00000307522,-1,-1,-1,-1,-1,0,0,0
ENST00000246070,-1,-1,-1,-1,-1,0,0,0
ENST00000501122,-1,-1,-1,-1,-1,0,0,1
ENST00000621208,-1,-1,-1,-1,-1,0,0,0
ENST00000375252,-1,-1,-1,-1,-1,0,1,0
ENST00000337685,-1,-1,-1,-1,-1,0,0,0
ENST00000299045,-1,-1,-1,-1,-1,0,0,0
ENST00000330070,-1,-1,-1,-1,-1,0,0,0
ENST00000468399,-1,-1,-1,-1,-1,0,0,-1
ENST00000423546,-1,-1,-1,-1,-1,0,0,0
ENST00000545241,-1,-1,-1,-1,-1,0,-1,-1
ENST00000442245,-1,-1,-1,-1,-1,0,0,0
ENST00000602505,-1,-1,-1,-1,-1,0,0,0
ENST00000262545,-1,-1,-1,-1,-1,0,0,0
ENST00000369915,-1,-1,-1,-1,-1,0,0,0
ENST00000421423,-1,-1,-1,-1,-1,0,0,0
ENST00000327245,-1,-1,-1,-1,-1,0,0,0
ENST00000297161,-1,-1,-1,-1,-1,1,0,1
ENST00000509023,-1,-1,-1,-1,-1,0,0,0
ENST00000467087,-1,-1,-1,-1,-1,0,0,0
ENST00000527511,-1,-1,-1,-1,-1,0,0,0
ENST00000512374,-1,-1,-1,-1,-1,0,0,0
ENST00000532605,-1,-1,-1,-1,-1,0,0,0
ENST00000298251,-1,-1,-1,-1,-1,0,0,0
ENST00000427794,-1,-1,-1,-1,-1,1,0,1
ENST00000328843,-1,-1,-1,-1,-1,0,0,0
ENST00000328078,-1,-1,-1,-1,-1,0,0,0
ENST00000262150,-1,-1,-1,-1,-1,0,0,0
ENST00000530659,-1,-1,-1,-1,-1,0,0,0
ENST00000356942,-1,-1,-1,-1,-1,0,0,0
ENST00000376752,-1,-1,-1,-1,-1,0,0,0
