,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4
ENST00000370754,0,0,-1,1,0,1,0,1
ENST00000447524,0,0,0,0,0,1,0,1
ENST00000457765,-1,1,-1,0,-1,1,0,1
ENST00000495195,0,-1,-1,-1,-1,1,0,1
ENST00000542664,-1,1,0,1,1,1,0,1
ENST00000243298,0,1,0,1,1,1,0,1
ENST00000241052,0,0,0,0,0,1,0,1
ENST00000281282,0,0,1,1,0,1,0,1
ENST00000591280,0,0,0,1,1,1,0,1
ENST00000426059,-1,-1,0,-1,0,1,0,1
ENST00000263379,1,-1,0,-1,-1,1,0,1
ENST00000357461,-1,1,1,1,1,1,0,1
ENST00000464285,-1,-1,-1,1,0,1,0,1
ENST00000276202,0,0,-1,-1,0,1,0,1
ENST00000499006,0,-1,0,1,1,1,0,1
ENST00000355666,0,1,0,1,1,1,0,1
ENST00000228945,0,1,0,0,1,1,0,1
ENST00000564704,1,1,1,1,0,1,0,1
ENST00000620222,1,0,0,-1,0,1,0,1
ENST00000490967,-1,1,0,1,1,1,0,1
ENST00000450626,0,0,0,0,0,1,0,1
ENST00000402744,-1,1,1,1,1,1,0,1
ENST00000045083,0,-1,0,-1,-1,1,0,1
ENST00000495850,0,-1,-1,1,0,1,0,1
ENST00000617421,-1,-1,1,1,0,1,0,1
ENST00000599206,0,-1,-1,1,-1,1,0,1
ENST00000508730,0,0,-1,0,0,1,0,1
ENST00000610817,0,-1,1,-1,-1,1,0,1
ENST00000617612,-1,0,-1,-1,-1,1,0,1
ENST00000621533,0,0,0,0,0,1,0,1
ENST00000222598,0,-1,-1,-1,-1,1,0,1
ENST00000592198,0,0,0,0,0,1,0,1
ENST00000239444,-1,-1,-1,-1,-1,1,0,1
ENST00000334888,0,1,1,1,1,1,0,1
ENST00000568701,0,-1,-1,-1,-1,1,0,1
ENST00000449283,0,0,0,0,0,1,0,1
ENST00000394323,0,1,1,-1,-1,1,0,1
ENST00000350425,0,0,-1,-1,0,1,0,1
ENST00000569479,-1,-1,0,0,-1,1,0,1
ENST00000374695,0,0,1,-1,1,1,0,1
ENST00000294016,0,0,0,1,0,1,0,1
ENST00000264832,1,0,1,0,-1,1,0,1
ENST00000556462,0,0,0,0,0,1,0,1
ENST00000340087,-1,1,1,1,1,1,0,1
ENST00000306149,0,1,0,1,0,1,0,1
ENST00000552872,1,0,1,0,1,1,0,1
ENST00000621326,1,0,-1,1,-1,1,0,1
ENST00000582017,1,0,0,-1,-1,1,0,1
ENST00000519932,0,-1,1,-1,-1,1,0,1
ENST00000577765,0,0,0,0,0,1,0,1
ENST00000400000,0,0,0,1,-1,1,0,1
ENST00000446557,0,0,0,0,1,1,0,1
ENST00000296641,-1,0,0,0,0,1,0,1
ENST00000326853,0,0,0,0,0,1,0,1
ENST00000235382,1,0,-1,-1,0,1,0,1
