,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4
ENST00000295304,0,0,0,0,1,-1,0,-1
ENST00000534785,0,0,1,0,1,-1,0,-1
ENST00000611155,0,-1,0,0,0,-1,0,-1
ENST00000549232,0,-1,0,1,-1,-1,0,-1
ENST00000518539,0,0,0,0,0,-1,0,-1
ENST00000585680,0,0,-1,0,1,-1,0,-1
ENST00000460265,0,-1,0,1,1,-1,0,-1
ENST00000590677,0,0,0,0,-1,-1,0,-1
ENST00000488743,0,0,1,0,0,-1,0,-1
ENST00000508138,0,-1,0,0,0,-1,0,-1
ENST00000426075,0,0,0,-1,1,-1,0,-1
ENST00000262395,-1,1,1,0,1,-1,0,-1
ENST00000575882,1,1,1,1,1,-1,0,-1
ENST00000489418,0,0,0,0,0,-1,0,-1
ENST00000612103,0,0,0,0,0,-1,0,-1
ENST00000413811,0,0,0,-1,0,-1,0,-1
ENST00000618014,0,0,1,0,0,-1,0,-1
ENST00000556866,0,-1,0,0,1,-1,0,-1
ENST00000226230,1,-1,0,0,0,-1,0,-1
ENST00000353024,1,1,0,1,1,-1,0,-1
ENST00000443024,0,-1,-1,0,0,-1,0,-1
ENST00000521862,1,0,0,0,0,-1,0,-1
ENST00000422485,0,0,1,-1,1,-1,0,-1
ENST00000375259,0,-1,0,-1,-1,-1,0,-1
ENST00000397418,0,1,1,0,1,-1,0,-1
ENST00000372691,0,1,1,1,1,-1,0,-1
ENST00000389301,0,0,1,0,0,-1,0,-1
ENST00000495469,0,-1,0,-1,-1,-1,0,-1
ENST00000254235,0,0,1,-1,0,-1,0,-1
ENST00000258243,0,0,0,-1,0,-1,0,-1
ENST00000355937,0,-1,-1,-1,0,-1,0,-1
ENST00000518741,1,0,1,0,1,-1,0,-1
ENST00000421767,0,-1,-1,0,0,-1,0,-1
ENST00000280191,0,-1,0,-1,0,-1,0,-1
ENST00000339397,0,-1,-1,-1,0,-1,0,-1
ENST00000219334,-1,1,1,1,1,-1,0,-1
ENST00000478130,0,0,0,0,0,-1,0,-1
ENST00000255078,0,-1,-1,0,0,-1,0,-1
ENST00000521122,0,0,1,-1,1,-1,0,-1
ENST00000257818,1,0,-1,-1,-1,-1,0,-1
ENST00000401897,0,0,0,0,0,-1,0,-1
ENST00000260731,1,0,1,-1,1,-1,0,-1
ENST00000380071,0,0,0,0,1,-1,0,-1
ENST00000281828,0,1,0,0,1,-1,0,-1
ENST00000310942,1,-1,0,-1,-1,-1,0,-1
ENST00000271628,0,0,0,-1,1,-1,0,-1
ENST00000312521,0,0,0,1,0,-1,0,-1
ENST00000570178,0,0,0,-1,0,-1,0,-1
ENST00000517562,-1,-1,-1,-1,-1,-1,0,-1
ENST00000502784,0,-1,0,0,1,-1,0,-1
ENST00000328205,0,0,0,0,0,-1,0,-1
ENST00000258281,0,0,-1,0,1,-1,0,-1
ENST00000559503,0,0,0,0,0,-1,0,-1
ENST00000518311,1,0,0,1,1,-1,0,-1
ENST00000335783,-1,-1,0,-1,0,-1,0,-1
ENST00000217456,0,-1,0,0,1,-1,0,-1
ENST00000621609,-1,1,0,0,0,-1,0,-1
ENST00000354230,0,0,0,0,1,-1,0,-1
ENST00000448257,0,0,1,-1,1,-1,0,-1
ENST00000318121,0,0,0,0,0,-1,0,-1
ENST00000562158,0,0,0,0,-1,-1,0,-1
ENST00000376436,0,-1,-1,1,-1,-1,0,-1
ENST00000358739,0,1,1,0,1,-1,0,-1
ENST00000309318,1,-1,0,-1,0,-1,0,-1
ENST00000511103,1,0,0,1,1,-1,0,-1
ENST00000450932,0,-1,-1,1,-1,-1,0,-1
ENST00000453693,0,-1,1,-1,1,-1,0,-1
ENST00000538266,0,-1,-1,1,0,-1,0,-1
ENST00000396863,0,0,1,0,1,-1,0,-1
ENST00000276141,-1,1,-1,0,1,-1,0,-1
ENST00000612064,0,0,0,0,-1,-1,0,-1
ENST00000337852,0,1,0,0,1,-1,0,-1
ENST00000283006,0,-1,1,-1,1,-1,0,-1
ENST00000210313,0,-1,-1,-1,-1,-1,0,-1
ENST00000372134,0,1,0,1,0,-1,0,-1
ENST00000377051,0,0,0,0,0,-1,0,-1
ENST00000356208,0,0,0,0,-1,-1,0,-1
ENST00000323666,0,0,-1,0,0,-1,0,-1
ENST00000424587,-1,-1,-1,1,-1,-1,0,-1
ENST00000442660,0,0,1,0,0,-1,0,-1
ENST00000422448,0,0,0,0,0,-1,0,-1
ENST00000547804,0,-1,0,0,1,-1,0,-1
ENST00000558535,0,1,0,1,0,-1,0,-1
ENST00000266732,0,0,0,0,1,-1,0,-1
ENST00000299565,0,0,0,0,0,-1,0,-1
ENST00000518968,0,-1,-1,-1,-1,-1,0,-1
ENST00000367241,1,-1,1,-1,0,-1,0,-1
ENST00000439132,0,-1,-1,-1,-1,-1,0,-1
ENST00000603864,1,0,0,0,1,-1,0,-1
ENST00000442009,1,-1,0,0,0,-1,0,-1
ENST00000379205,0,-1,0,-1,0,-1,0,-1
ENST00000618915,0,-1,-1,-1,0,-1,0,-1
ENST00000216223,-1,0,0,0,1,-1,0,-1
ENST00000393766,1,-1,-1,-1,0,-1,0,-1
ENST00000611279,0,0,0,0,0,-1,0,-1
ENST00000427854,0,0,0,0,0,-1,0,-1
ENST00000378217,0,0,0,0,0,-1,0,-1
ENST00000252463,0,0,0,0,0,-1,0,-1
ENST00000300177,0,0,0,1,1,-1,0,-1
ENST00000484998,0,-1,0,-1,0,-1,0,-1
ENST00000269373,0,0,0,0,0,-1,0,-1
ENST00000534171,0,-1,0,0,0,-1,0,-1
ENST00000494075,0,0,-1,0,0,-1,0,-1
ENST00000377575,0,0,0,-1,0,-1,0,-1
ENST00000600888,0,-1,0,-1,0,-1,0,-1
ENST00000351989,0,0,0,0,1,-1,0,-1
ENST00000261226,-1,1,-1,1,1,-1,0,-1
ENST00000345080,0,1,0,0,0,-1,0,-1
