,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4
ENST00000375592,0,0,0,0,0,0,-1,0
ENST00000561573,0,1,0,0,1,0,-1,0
ENST00000531523,1,-1,0,1,1,0,-1,0
ENST00000610776,0,0,0,1,0,0,-1,0
ENST00000411651,0,1,0,1,0,0,-1,0
ENST00000525015,0,0,-1,0,0,0,-1,0
ENST00000555069,0,0,0,0,0,0,-1,0
ENST00000473252,0,1,0,0,0,0,-1,0
ENST00000373493,0,0,0,-1,0,0,-1,0
ENST00000578200,0,1,0,0,1,0,-1,0
ENST00000592712,0,0,-1,0,0,0,-1,0
ENST00000597291,0,0,1,-1,0,0,-1,0
ENST00000508065,0,0,0,0,0,0,-1,0
ENST00000331128,0,0,0,0,1,0,-1,0
ENST00000423832,0,0,1,0,-1,0,-1,0
ENST00000589085,0,-1,-1,-1,-1,0,-1,0
ENST00000441716,0,0,0,0,0,0,-1,0
ENST00000483031,0,0,1,0,0,0,-1,0
ENST00000299906,0,0,0,0,0,0,-1,0
ENST00000335694,0,0,0,0,0,0,-1,0
ENST00000566681,0,0,1,0,0,0,-1,0
ENST00000413744,0,0,1,0,1,0,-1,0
ENST00000462812,0,0,0,-1,1,0,-1,0
ENST00000432901,0,-1,0,0,-1,0,-1,0
ENST00000267202,0,-1,0,-1,-1,0,-1,0
ENST00000271688,0,-1,0,-1,-1,0,-1,0
ENST00000315579,0,0,1,-1,0,0,-1,0
ENST00000552179,0,-1,0,-1,0,0,-1,0
ENST00000533597,0,-1,-1,0,-1,0,-1,0
ENST00000309922,0,0,1,1,0,0,-1,0
ENST00000309859,0,0,0,1,0,0,-1,0
ENST00000586014,0,0,1,0,1,0,-1,0
ENST00000615744,0,0,1,1,0,0,-1,0
ENST00000405954,0,0,0,0,-1,0,-1,0
ENST00000486442,-1,1,1,0,0,0,-1,0
ENST00000333676,0,0,0,-1,0,0,-1,0
ENST00000506023,0,0,-1,0,0,0,-1,0
ENST00000493104,0,0,0,0,0,0,-1,0
ENST00000472161,0,-1,-1,-1,-1,0,-1,0
ENST00000608532,0,1,1,1,1,0,-1,0
ENST00000268802,0,0,1,-1,0,0,-1,0
ENST00000602584,0,1,0,1,0,0,-1,0
ENST00000380966,0,1,1,0,1,0,-1,0
ENST00000377075,0,-1,0,1,-1,0,-1,0
ENST00000316881,0,1,0,-1,0,0,-1,0
ENST00000332395,0,1,1,0,0,0,-1,0
ENST00000368279,0,0,-1,-1,0,0,-1,0
