,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4
NM_018994,0,0,0,0,0,0,-1,0
NM_001033088,0,1,0,0,1,0,-1,0
AK125769,0,0,0,0,0,0,-1,0
NM_001135914,0,0,0,1,0,0,-1,0
NM_006936,0,1,0,1,0,0,-1,0
NM_024514,0,0,-1,0,0,0,-1,0
GQ129372,0,0,0,0,0,0,-1,0
NM_182505,0,1,0,0,0,0,-1,0
NM_005610,0,0,0,-1,0,0,-1,0
NR_027418,0,1,0,0,1,0,-1,0
NR_110718,0,0,-1,0,0,0,-1,0
NM_006067,0,0,1,-1,0,0,-1,0
NM_001042490,0,0,0,0,0,0,-1,0
NM_175065,0,0,0,0,1,0,-1,0
NM_032316,0,0,1,0,-1,0,-1,0
NM_001286233,1,0,-1,1,-1,0,-1,0
XR_424064,-1,0,0,0,0,0,-1,0
NM_020175,0,-1,-1,-1,-1,0,-1,0
NM_002406,0,0,0,0,0,0,-1,0
NM_001129895,0,0,0,0,0,0,-1,0
NM_002947,0,0,1,0,0,0,-1,0
NM_001170797,0,0,0,1,0,0,-1,0
NM_207318,0,0,0,0,0,0,-1,0
NM_018250,0,1,1,-1,0,0,-1,0
NM_004239,0,0,0,0,-1,0,-1,0
NM_178311,0,0,0,0,0,0,-1,0
NM_024946,0,0,1,0,0,0,-1,0
NR_024412,0,0,1,0,1,0,-1,0
NM_013285,0,0,0,-1,1,0,-1,0
NM_001164811,0,-1,0,0,-1,0,-1,0
NM_024667,0,-1,0,-1,-1,0,-1,0
NM_181746,0,-1,0,-1,-1,0,-1,0
NM_014865,0,0,1,-1,0,0,-1,0
NM_000019,0,-1,-1,0,-1,0,-1,0
NM_017819,0,0,1,1,0,0,-1,0
NM_015044,0,0,0,1,0,0,-1,0
NM_003370,0,0,1,0,1,0,-1,0
NM_024051,0,-1,1,0,0,0,-1,0
NM_138418,0,0,1,1,0,0,-1,0
NM_001033575,0,0,0,0,-1,0,-1,0
NM_052920,-1,1,1,0,0,0,-1,0
NM_022566,0,0,1,1,-1,0,-1,0
NM_002949,0,0,0,-1,0,0,-1,0
NM_018321,0,0,-1,0,0,0,-1,0
NM_014749,0,0,-1,0,0,0,-1,0
NM_032478,0,0,0,0,0,0,-1,0
NM_007363,0,0,-1,-1,-1,0,-1,0
BC065737,0,-1,-1,-1,-1,0,-1,0
NM_016063,0,1,1,1,1,0,-1,0
NM_014062,0,0,1,-1,0,0,-1,0
NM_001281435,0,1,0,1,0,0,-1,0
NM_016309,0,1,1,0,1,0,-1,0
NM_020184,0,-1,0,1,-1,0,-1,0
NM_005082,0,1,0,-1,0,0,-1,0
NM_018380,0,1,1,0,0,0,-1,0
NM_001199654,0,0,-1,-1,0,0,-1,0
NM_002876,0,-1,0,0,0,0,-1,0
NM_020696,0,0,0,0,0,0,-1,0
NM_006948,0,1,1,0,0,0,-1,0
NM_001387,1,0,1,-1,0,0,-1,0
NM_001007467,0,-1,-1,1,-1,0,-1,0
NM_003198,0,0,-1,0,0,0,-1,0
NM_001033030,0,0,1,0,0,0,-1,0
NR_024204,1,-1,0,-1,1,0,-1,0
NM_005997,0,0,-1,0,0,0,-1,0
NM_017646,0,0,0,0,0,0,-1,0
NM_024011,0,0,0,0,1,0,-1,0
NM_022725,1,1,1,0,0,0,-1,0
NM_003799,-1,0,0,0,0,0,-1,0
NR_026752,-1,-1,-1,1,-1,0,-1,0
NM_032860,0,-1,0,0,0,0,-1,0
NM_005250,0,0,1,0,1,0,-1,0
NM_181725,0,0,0,0,0,0,-1,0
NM_001013398,1,1,-1,-1,1,0,-1,0
NM_024319,0,0,0,0,0,0,-1,0
NM_145080,0,-1,0,-1,0,0,-1,0
NM_020374,0,1,0,0,0,0,-1,0
NM_000455,0,0,0,0,0,0,-1,0
NM_001161,1,-1,-1,-1,0,0,-1,0
NM_014003,0,-1,0,0,0,0,-1,0
NR_121620,1,0,0,0,1,0,-1,0
NM_020243,0,-1,0,-1,1,0,-1,0
NM_004725,0,0,0,0,0,0,-1,0
NM_138795,0,0,0,0,0,0,-1,0
NR_024497,0,-1,-1,-1,0,0,-1,0
NM_015508,0,-1,0,-1,-1,0,-1,0
NM_001975,0,1,-1,1,-1,0,-1,0
NM_020928,-1,0,0,0,1,0,-1,0
NM_016120,0,0,-1,0,0,0,-1,0
NM_003334,0,0,0,0,1,0,-1,0
NM_015092,-1,0,0,1,-1,0,-1,0
NM_203500,0,0,0,0,1,0,-1,0
NM_031452,0,0,0,0,0,0,-1,0
NM_001444,0,0,1,1,0,0,-1,0
NM_012456,0,0,0,1,1,0,-1,0
NM_018093,1,0,0,0,1,0,-1,0
NM_053023,-1,0,0,0,0,0,-1,0
NM_016222,0,-1,1,0,1,0,-1,0
NM_016539,0,0,0,0,1,0,-1,0
NM_005949,1,0,1,1,0,0,-1,0
NM_133180,1,0,1,0,0,0,-1,0
NM_001099653,0,0,1,-1,1,0,-1,0
HQ013231,0,0,0,0,-1,0,-1,0
NM_001039613,0,0,1,0,0,0,-1,0
NM_002768,0,1,1,0,0,0,-1,0
NR_015439,0,-1,0,-1,0,0,-1,0
NM_133373,0,0,0,0,-1,0,-1,0
NR_028272,-1,-1,-1,0,-1,0,-1,0
NM_007174,0,1,-1,0,0,0,-1,0
NR_002593,0,0,0,0,0,0,-1,0
NM_003113,0,0,0,0,0,0,-1,0
NM_006331,0,0,0,-1,0,0,-1,0
NM_032796,0,-1,0,-1,0,0,-1,0
NM_002271,0,-1,0,0,0,0,-1,0
NM_001128128,-1,-1,-1,-1,0,0,-1,0
AK057657,0,1,1,1,0,0,-1,0
NR_120611,1,-1,-1,-1,0,0,-1,0
NM_000382,0,-1,0,-1,-1,0,-1,0
NR_038366,-1,-1,0,1,-1,0,-1,0
NM_004987,-1,0,1,0,0,0,-1,0
NM_016203,0,1,1,1,1,0,-1,0
NM_012068,1,0,1,0,1,0,-1,0
NR_000011,0,-1,-1,-1,-1,0,-1,0
NM_003021,0,1,0,0,0,0,-1,0
NM_016100,0,0,0,0,0,0,-1,0
NM_177938,0,1,1,1,-1,0,-1,0
XM_005255346,0,0,1,1,0,0,-1,0
NM_017550,0,0,0,0,0,0,-1,0
NM_003901,0,-1,0,-1,0,0,-1,0
NM_013376,1,-1,-1,-1,0,0,-1,0
NM_133496,0,0,0,0,0,0,-1,0
NM_001185011,0,-1,0,0,0,0,-1,0
NM_001284280,0,-1,0,-1,-1,0,-1,0
NM_005760,0,-1,-1,-1,0,0,-1,0
NM_014232,0,1,0,1,0,0,-1,0
NM_001135243,0,0,0,1,0,0,-1,0
NM_002317,0,-1,-1,-1,-1,0,-1,0
NM_024595,0,0,0,0,0,0,-1,0
NM_052988,0,0,0,0,0,0,-1,0
NM_031206,0,-1,-1,0,0,0,-1,0
NM_020810,0,0,-1,0,0,0,-1,0
NM_002109,0,-1,0,0,0,0,-1,0
XR_424420,0,0,0,0,-1,0,-1,0
NM_000444,0,-1,1,0,0,0,-1,0
NM_004773,0,0,0,0,0,0,-1,0
NM_030805,0,0,0,-1,0,0,-1,0
NM_016006,0,1,1,1,1,0,-1,0
NM_006123,0,0,-1,-1,-1,0,-1,0
AF336885,0,0,-1,1,0,0,-1,0
NM_006311,0,0,-1,1,0,0,-1,0
NM_024811,0,0,0,0,0,0,-1,0
NR_028324,0,-1,-1,-1,0,0,-1,0
NM_001184,0,1,1,1,1,0,-1,0
NR_111952,0,1,0,0,1,0,-1,0
NM_016579,0,1,0,0,1,0,-1,0
NM_017771,-1,1,0,1,0,0,-1,0
NM_005319,0,0,0,0,1,0,-1,0
NM_080599,0,-1,-1,0,0,0,-1,0
NM_012260,0,-1,-1,0,0,0,-1,0
NM_014329,0,0,0,0,0,0,-1,0
NM_006622,0,0,-1,-1,-1,0,-1,0
BC042148,-1,-1,-1,-1,0,0,-1,0
NM_138420,1,1,0,0,0,0,-1,0
NM_016042,0,0,0,0,0,0,-1,0
NM_025196,0,0,1,0,1,0,-1,0
NR_029401,0,0,-1,1,0,0,-1,0
NM_007165,0,0,0,0,1,0,-1,0
NM_006510,0,0,0,-1,0,0,-1,0
NM_001256429,-1,0,-1,-1,-1,0,-1,0
NM_006411,0,0,1,0,0,0,-1,0
NM_015550,0,0,1,-1,0,0,-1,0
NM_014280,0,1,0,1,0,0,-1,0
NM_003653,0,1,0,1,1,0,-1,0
NM_021805,-1,1,1,1,1,0,-1,0
NM_152773,0,-1,0,-1,-1,0,-1,0
NM_012322,1,-1,0,-1,0,0,-1,0
NM_001164273,0,0,-1,0,-1,0,-1,0
XM_001714032,0,0,0,0,0,0,-1,0
NM_017634,0,0,-1,0,0,0,-1,0
NM_006106,-1,-1,-1,-1,-1,0,-1,0
NM_001020818,0,1,1,0,-1,0,-1,0
NM_002081,-1,-1,0,-1,-1,0,-1,0
NM_001278,0,1,0,0,0,0,-1,0
NM_004249,0,0,0,0,-1,0,-1,0
NM_016565,0,-1,0,-1,0,0,-1,0
NM_004461,0,1,0,0,1,0,-1,0
NM_002918,0,0,0,0,-1,0,-1,0
NM_006993,1,0,1,-1,1,0,-1,0
NM_015963,0,1,1,0,0,0,-1,0
NM_033540,0,0,0,0,0,0,-1,0
NM_032853,0,1,1,0,0,0,-1,0
NM_014911,1,0,0,1,0,0,-1,0
NM_001731,0,1,1,1,0,0,-1,0
NM_003132,0,1,1,0,1,0,-1,0
NM_014288,0,-1,0,-1,0,0,-1,0
NM_017722,0,0,0,0,0,0,-1,0
XM_006713724,0,0,0,0,1,0,-1,0
