,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4
NM_001190470,-1,1,0,1,0,1,1,0
NM_006029,-1,0,1,0,-1,1,1,0
NM_000089,-1,0,0,0,1,1,1,0
NM_004734,0,1,1,1,-1,1,1,0
NM_007126,0,1,0,0,0,1,1,0
NM_015364,0,1,-1,-1,-1,1,1,0
NM_003377,0,1,1,0,1,1,1,0
NM_007209,1,-1,-1,0,-1,1,1,0
NM_000712,1,0,0,1,1,1,1,0
NM_005708,1,-1,-1,-1,1,1,1,0
NM_000484,-1,1,1,1,0,1,1,0
NM_006806,0,0,-1,-1,-1,1,1,0
NM_183422,-1,1,0,1,0,1,1,0
NM_001042646,-1,0,0,0,0,1,1,0
NM_001190470,-1,1,0,1,0,1,1,0
NM_080748,0,-1,0,-1,0,1,1,0
NM_178191,0,1,0,1,1,1,1,0
NM_001030,1,-1,-1,-1,-1,1,1,0
NM_001301078,0,1,1,1,0,1,1,0
NM_177924,-1,1,0,1,0,1,1,0
NM_001005340,-1,1,1,1,-1,1,1,0
