,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4
NM_001040125,0,1,0,1,0,1,1,1
NM_007148,0,1,1,1,1,1,1,1
NM_007308,0,1,-1,1,1,1,1,1
NM_001767,-1,1,0,0,1,1,1,1
NM_000396,1,-1,1,-1,-1,1,1,1
NM_002087,1,1,1,0,0,1,1,1
BC071734,1,0,0,0,0,1,1,1
NM_002404,1,0,1,0,-1,1,1,1
NM_021077,-1,-1,0,-1,-1,1,1,1
NM_002658,1,-1,1,-1,-1,1,1,1
NM_147780,0,1,1,0,-1,1,1,1
NM_005514,0,0,-1,-1,-1,1,1,1
NM_021128,1,0,1,1,1,1,1,1
NM_018071,0,-1,0,-1,-1,1,1,1
NM_003793,-1,1,1,1,0,1,1,1
NM_173463,0,0,0,0,1,1,1,1
NM_002116,1,0,0,0,0,1,1,1
NR_003287,0,1,1,1,1,1,1,1
NM_014220,1,0,0,0,1,1,1,1
NM_001282619,0,0,1,0,0,1,1,1
NM_006886,0,0,0,0,0,1,1,1
NM_003881,0,1,0,0,0,1,1,1
NM_201525,-1,0,1,-1,-1,1,1,1
NM_012156,0,1,1,1,1,1,1,1
NM_000999,1,0,0,0,-1,1,1,1
NM_032476,1,0,1,0,1,1,1,1
NR_001445,0,0,0,1,-1,1,1,1
NM_001079863,-1,-1,-1,0,-1,1,1,1
NM_173178,0,0,0,-1,0,1,1,1
CN283862,0,1,1,1,0,1,1,1
NM_001286259,0,1,0,1,0,1,1,1
NM_001553,1,0,1,-1,1,1,1,1
NM_001848,0,-1,1,-1,0,1,1,1
NM_170746,0,0,-1,-1,-1,1,1,1
NR_033870,0,1,0,1,0,1,1,1
NM_005461,0,1,0,0,0,1,1,1
NM_003118,-1,-1,1,1,0,1,1,1
NM_001195430,0,-1,1,0,-1,1,1,1
NM_020529,0,1,-1,1,0,1,1,1
NR_024230,0,1,1,1,1,1,1,1
NM_001035516,0,0,0,1,0,1,1,1
NM_024979,0,1,1,1,0,1,1,1
NM_177403,-1,-1,1,-1,-1,1,1,1
NM_004460,-1,-1,-1,-1,0,1,1,1
NM_001511,0,1,-1,-1,-1,1,1,1
NM_014262,1,0,0,1,-1,1,1,1
NR_024214,0,1,1,1,1,1,1,1
NM_018405,0,1,1,1,0,1,1,1
NM_005502,1,-1,0,-1,-1,1,1,1
NM_001164479,0,1,1,1,0,1,1,1
NM_001101,1,0,1,1,0,1,1,1
NR_024244,0,1,1,1,1,1,1,1
NM_005461,0,1,0,0,0,1,1,1
NM_021009,0,1,1,1,1,1,1,1
NM_022126,-1,1,1,1,0,1,1,1
