,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4
NM_000285,0,0,1,0,0,0,1,0
NM_000998,1,-1,-1,0,-1,0,1,0
AK024156,0,1,-1,1,1,0,1,0
AF147412,0,-1,0,-1,-1,0,1,0
NM_000967,0,-1,-1,0,0,0,1,0
NM_002046,0,0,1,0,0,0,1,0
NM_001219,0,-1,1,-1,0,0,1,0
NM_002415,1,0,1,0,0,0,1,0
NM_006402,0,0,0,0,0,0,1,0
NM_024292,0,-1,0,0,0,0,1,0
NM_001256530,0,0,1,0,-1,0,1,0
NM_001011,0,-1,0,0,-1,0,1,0
NM_000975,0,-1,-1,-1,-1,0,1,0
NM_004252,0,-1,-1,1,-1,0,1,0
NM_001697,0,0,0,1,1,0,1,0
NM_013451,0,0,1,-1,-1,0,1,0
NM_000852,0,-1,1,0,1,0,1,0
NM_001014446,1,0,1,-1,0,0,1,0
NM_003404,0,0,0,1,0,0,1,0
NR_003662,0,0,0,-1,-1,0,1,0
NM_018840,0,0,0,0,0,0,1,0
NM_004639,0,0,0,0,0,0,1,0
NM_021173,1,0,1,0,0,0,1,0
NM_001028,0,-1,-1,-1,-1,0,1,0
NM_006317,0,1,-1,0,0,0,1,0
NM_000989,0,0,0,0,-1,0,1,0
NM_000984,0,-1,0,0,-1,0,1,0
NM_002948,0,-1,0,-1,0,0,1,0
NM_000100,0,0,0,0,0,0,1,0
AK055523,0,1,-1,1,0,0,1,0
NM_004546,0,0,0,1,0,0,1,0
NM_005348,0,0,0,0,0,0,1,0
NM_024408,0,-1,-1,-1,-1,0,1,0
NM_021210,0,0,0,0,1,0,1,0
NM_001000,0,-1,-1,-1,-1,0,1,0
NM_005975,0,1,0,1,1,0,1,0
NM_001540,0,-1,1,-1,0,0,1,0
NM_000979,0,-1,-1,0,0,0,1,0
NM_001064,0,0,0,0,0,0,1,0
NM_006373,-1,1,1,-1,0,0,1,0
NM_014255,0,1,1,0,0,0,1,0
NM_004552,0,0,0,0,0,0,1,0
NM_006423,0,0,0,0,1,0,1,0
NM_002032,0,1,1,1,0,0,1,0
NM_002799,0,-1,-1,-1,0,0,1,0
NM_003795,0,-1,0,0,0,0,1,0
NM_145791,0,1,0,1,1,0,1,0
NM_001748,0,-1,0,0,0,0,1,0
NM_000391,0,0,0,-1,-1,0,1,0
NM_001033930,0,0,-1,-1,0,0,1,0
CR542069,0,0,-1,0,0,0,1,0
NM_001042483,-1,-1,0,1,-1,0,1,0
NM_014380,0,1,0,1,1,0,1,0
NM_021009,-1,0,0,1,1,0,1,0
NM_004357,-1,0,1,0,1,0,1,0
NM_020470,0,0,0,-1,1,0,1,0
NM_006354,0,0,0,0,1,0,1,0
NM_182965,0,-1,-1,-1,-1,0,1,0
NM_001694,0,1,1,1,1,0,1,0
NM_015379,0,0,0,0,-1,0,1,0
NM_005851,0,0,1,1,1,0,1,0
NM_018357,0,1,0,1,1,0,1,0
NM_004048,0,0,-1,-1,-1,0,1,0
AK131288,-1,1,0,1,1,0,1,0
NM_005231,0,0,1,0,1,0,1,0
NM_019059,1,-1,0,1,0,0,1,0
NM_001002258,0,0,1,1,1,0,1,0
NM_001160223,0,1,-1,1,0,0,1,0
NM_207380,0,-1,0,-1,-1,0,1,0
NM_007236,0,-1,-1,0,-1,0,1,0
NM_001278556,0,0,0,0,0,0,1,0
NM_033625,1,-1,-1,0,-1,0,1,0
NM_003295,0,-1,0,0,0,0,1,0
NM_002107,0,0,0,0,0,0,1,0
NM_017781,0,1,-1,1,1,0,1,0
NM_032704,1,-1,1,-1,1,0,1,0
NM_002489,0,0,0,1,0,0,1,0
NR_024240,0,0,-1,0,-1,0,1,0
NM_079423,0,0,1,0,0,0,1,0
NM_001035267,1,0,0,0,0,0,1,0
NM_001077489,-1,0,-1,0,1,0,1,0
NM_031462,0,1,0,1,1,0,1,0
NM_002300,-1,0,1,1,1,0,1,0
NM_001024662,0,-1,0,0,0,0,1,0
NM_032901,0,0,-1,0,-1,0,1,0
NM_002496,0,0,0,0,0,0,1,0
NM_002966,0,-1,1,-1,0,0,1,0
NM_005027,0,0,0,0,1,0,1,0
NM_001031,0,0,-1,0,0,0,1,0
NM_018226,0,0,1,0,0,0,1,0
BC018140,0,-1,-1,-1,-1,0,1,0
NM_000918,0,1,1,0,1,0,1,0
NM_015379,0,0,0,0,-1,0,1,0
AK130121,0,0,0,0,0,0,1,0
NM_032378,0,-1,-1,-1,0,0,1,0
NM_001012969,-1,-1,0,-1,-1,0,1,0
NM_015493,-1,-1,0,-1,-1,0,1,0
NM_013231,0,1,1,0,1,0,1,0
NM_019107,0,0,0,-1,1,0,1,0
NM_133491,0,0,0,-1,0,0,1,0
XM_006724071,0,0,0,1,0,0,1,0
NM_001166600,0,1,0,0,0,0,1,0
NM_194249,0,0,0,1,0,0,1,0
NM_006830,0,0,-1,0,0,0,1,0
NM_004547,0,0,1,1,1,0,1,0
NR_034055,0,0,0,0,0,0,1,0
NM_138806,0,0,0,0,0,0,1,0
NM_024843,-1,-1,-1,-1,-1,0,1,0
NM_000485,0,0,1,0,0,0,1,0
NM_018648,1,0,0,-1,0,0,1,0
NR_002184,0,1,-1,1,1,0,1,0
NM_022170,0,0,0,0,0,0,1,0
NM_053275,1,-1,-1,-1,0,0,1,0
NM_001022,1,-1,-1,-1,-1,0,1,0
NM_018711,0,1,-1,1,1,0,1,0
NM_001271618,0,0,-1,1,0,0,1,0
NM_000992,0,-1,-1,-1,-1,0,1,0
NM_012232,0,0,0,1,0,0,1,0
BC000228,0,1,0,1,1,0,1,0
NM_020765,0,0,0,0,0,0,1,0
AK057071,-1,1,0,1,1,0,1,0
NM_000985,1,-1,-1,0,-1,0,1,0
NM_003870,0,-1,0,-1,-1,0,1,0
NM_001077489,-1,1,-1,0,1,0,1,0
NM_001423,1,-1,1,-1,1,0,1,0
NM_000997,0,-1,-1,0,-1,0,1,0
NM_004559,0,0,0,0,1,0,1,0
NM_014713,0,-1,1,0,0,0,1,0
NM_014341,0,1,0,0,0,0,1,0
NM_033375,0,0,-1,1,0,0,1,0
NM_000967,0,-1,-1,0,0,0,1,0
NM_001019,0,-1,0,-1,-1,0,1,0
NM_001025071,0,-1,-1,-1,-1,0,1,0
NM_002032,0,1,1,1,0,0,1,0
NM_005561,0,0,1,0,0,0,1,0
NM_021029,1,-1,-1,0,-1,0,1,0
NM_014390,0,0,0,1,1,0,1,0
NM_000973,0,0,0,-1,0,0,1,0
NM_004528,0,1,0,1,0,0,1,0
NM_000998,1,-1,-1,0,-1,0,1,0
NM_018946,1,0,-1,0,0,0,1,0
NM_145693,1,0,0,1,0,0,1,0
NM_001679,0,0,0,0,0,0,1,0
NM_001017,0,-1,-1,0,-1,0,1,0
NM_001010,1,-1,-1,-1,-1,0,1,0
NM_001006,0,-1,-1,-1,-1,0,1,0
NM_021029,1,-1,-1,0,-1,0,1,0
NM_005716,0,0,1,0,0,0,1,0
NM_001024736,-1,-1,1,-1,1,0,1,0
NM_006835,0,1,0,1,0,0,1,0
NM_001166175,0,0,1,0,0,0,1,0
NM_005730,-1,-1,-1,0,-1,0,1,0
NM_002314,0,1,1,0,1,0,1,0
NM_014402,0,-1,0,0,1,0,1,0
NM_004998,-1,-1,-1,-1,-1,0,1,0
NM_002872,0,1,-1,0,0,0,1,0
NM_133444,0,0,-1,1,0,0,1,0
NM_001017963,0,0,1,1,0,0,1,0
NM_004148,0,1,0,0,0,0,1,0
NM_001025204,0,0,0,1,1,0,1,0
NM_001022,1,-1,-1,-1,-1,0,1,0
NM_001127,0,0,0,1,0,0,1,0
NM_001009,0,-1,-1,0,0,0,1,0
BC000737,0,-1,-1,-1,-1,0,1,0
NM_003367,0,1,0,1,0,0,1,0
NM_004181,1,1,1,1,1,0,1,0
NM_001135865,0,0,-1,1,1,0,1,0
NM_002568,0,0,-1,0,0,0,1,0
NM_006356,0,0,0,0,-1,0,1,0
NM_001257389,0,-1,1,-1,0,0,1,0
NM_172002,0,0,-1,1,0,0,1,0
NM_006808,0,-1,0,-1,0,0,1,0
NM_001021,1,-1,0,-1,-1,0,1,0
BC057831,0,0,-1,1,1,0,1,0
BC029410,1,0,0,1,0,0,1,0
NM_178508,1,0,1,0,0,0,1,0
NM_021103,1,-1,1,-1,0,0,1,0
BX648289,0,0,1,-1,0,0,1,0
NM_004373,0,1,1,0,1,0,1,0
NM_001003,1,-1,-1,0,-1,0,1,0
NM_001288739,0,1,1,0,0,0,1,0
NM_016479,1,1,1,0,0,0,1,0
NM_020532,1,0,1,1,0,0,1,0
NM_000971,0,-1,-1,0,-1,0,1,0
NM_014644,0,0,-1,1,0,0,1,0
NM_001002857,0,1,1,0,1,0,1,0
NM_014644,0,0,-1,1,0,0,1,0
NM_001297565,0,0,0,1,1,0,1,0
AK023835,0,0,-1,1,0,0,1,0
BC052612,0,1,-1,1,1,0,1,0
NM_018950,0,0,-1,-1,-1,0,1,0
BC014228,0,0,-1,1,0,0,1,0
NM_000978,1,-1,0,-1,0,0,1,0
NM_002574,0,0,0,0,0,0,1,0
NM_001032,0,-1,-1,0,-1,0,1,0
NM_001012,1,-1,-1,0,-1,0,1,0
NM_032999,0,0,0,1,0,0,1,0
NM_005917,0,1,1,1,0,0,1,0
NM_001037494,0,0,0,0,0,0,1,0
NM_022833,0,0,1,0,0,0,1,0
NM_001011546,0,1,0,1,0,0,1,0
NM_002032,0,1,0,1,0,0,1,0
NM_000968,0,-1,0,0,-1,0,1,0
NM_007104,0,-1,0,0,0,0,1,0
NM_014222,0,1,0,1,0,0,1,0
NM_006640,0,0,0,0,0,0,1,0
NM_012423,1,0,-1,0,0,0,1,0
NR_046579,0,0,0,0,0,0,1,0
NM_004470,0,0,-1,1,1,0,1,0
